"ID","Name","Pref","Zipcode","Latitude","Longitude","Line","Station","Walk","Bus","Car","Budget","ScoreN","Score"
"gfn3602","さつまっこ 田園調布","東京都",1450071,35.594799,139.673551,"東急東横線","田園調布駅",7,NA,NA,700,0,NA
"gf88100","三ツ星餃子堂 石神井公園店","東京都",1770041,35.742963,139.605964,"西武池袋線","石神井公園駅",2,NA,NA,1000,0,NA
"gezv300","らーめん 華月","東京都",1680065,35.682703,139.62935,"京王井の頭線","浜田山駅",5,NA,NA,800,2,3
"gdh4401","昌平ラーメン 成子坂店","東京都",1600023,35.694859,139.690802,"地下鉄丸ノ内線","西新宿駅",2,NA,NA,800,0,NA
"g501135","タイ屋台料理 ティーヌン 市ヶ谷店","東京都",1020073,35.691625,139.736807,"ＪＲ","市ケ谷駅",1,NA,NA,2000,4,4.25
"gben800","らーめん ぽっぽっ屋 水道橋店","東京都",1010061,35.701457,139.753651,"ＪＲ総武線","水道橋駅",2,NA,NA,700,4,3.75
"gfa2600","ラーメン 新高揚","東京都",1600023,35.689361,139.697981,"ＪＲ","新宿駅",3,NA,NA,1000,1,3
"g053664","1／2PPUDO ルミネ立川店","東京都",1900012,35.698469,139.413611,"ＪＲ","立川駅",1,NA,NA,950,0,NA
"gesm804","桂花ラーメン 渋谷センター街店","東京都",1500042,35.660225,139.698654,"ＪＲ","渋谷駅",1,NA,NA,900,7,3.57142857142857
"gbd0800","中華そば屋 伊藤","東京都",1140003,35.763265,139.74596,"地下鉄南北線","王子神谷駅",12,NA,NA,550,6,4
"gbt9800","麺処 銀笹","東京都",1040061,35.666228,139.763437,"都営大江戸線","汐留駅",5,NA,NA,1000,8,4.375
"ge58500","ラーメン屋トイ・ボックス","東京都",1160014,35.73115,139.792066,"地下鉄日比谷線","三ノ輪駅",2,NA,NA,1000,2,NA
"ge38200","RAMEN GOTTSU","東京都",1760001,35.739423,139.656842,"西武池袋線","練馬駅",4,NA,NA,900,2,4
"gfmg500","九州らーめん 頭","東京都",1550031,35.660904,139.667646,"京王井の頭線","下北沢駅",2,NA,NA,999,1,NA
"gfwy100","らぁ麺 すぎ本","東京都",1650032,35.723087,139.63766,"西武新宿線","鷺ノ宮駅",2,NA,NA,2000,0,NA
"gfs8800","もとまる","東京都",1100005,35.708283,139.773972,"ＪＲ","御徒町駅",2,NA,NA,999,0,NA
"gesm807","桂花ラーメン 幡ヶ谷北口店","東京都",1510072,35.677502,139.676963,"京王新線","幡ヶ谷駅",1,NA,NA,900,1,3
"gfw5600","RAMEN にじゅうぶんのいち （RAMEN 1／20）","東京都",1160012,35.744548,139.772936,"都電荒川線","東尾久三丁目駅",3,NA,NA,800,0,NA
"gchw600","中国屋台 十八番 新川店","東京都",1040033,35.675819,139.780528,"地下鉄日比谷線","八丁堀駅",4,NA,NA,2000,0,NA
"gbkz700","麺屋 翔","東京都",1600023,35.696594,139.696601,"都営大江戸線","新宿西口駅",6,NA,NA,950,5,3.6
"gg0r300","百麺 中目黒店","東京都",1530042,35.64614,139.696977,"地下鉄日比谷線","中目黒駅",3,NA,NA,900,3,3
"gesm803","桂花ラーメン 新宿西口店","東京都",1600023,35.688971,139.696989,"ＪＲ","新宿駅",1,NA,NA,900,2,3
"gees600","中華料理 華山","東京都",1360076,35.668177,139.833186,"地下鉄","南砂町駅",2,NA,NA,1000,0,NA
"a350200","地蔵そば 大橋屋","東京都",1700002,35.735392,139.735765,"ＪＲ","巣鴨駅",5,NA,NA,900,1,3
"gffn300","中華料理 多来福 練馬","東京都",1760013,35.730324,139.659416,"西武池袋線","練馬駅",10,NA,NA,2500,0,NA
"gfnu600","中国蘭州ラーメン 火焔山蘭州拉麺 池袋店","東京都",1710014,35.733778,139.710908,"ＪＲ","池袋駅",5,NA,NA,1500,0,NA
"ggva100","えびす亭","東京都",1240005,35.745869,139.839882,"京成本線","お花茶屋駅",2,NA,NA,700,0,NA
"gesm806","桂花ラーメン 池袋西一番街店","東京都",1710021,35.732786,139.710208,"ＪＲ","池袋駅",2,NA,NA,900,0,NA
"a309800","福徳","東京都",1520004,35.629564,139.685505,"東急東横線","学芸大学駅",1,NA,NA,700,3,5
"geur300","博多 一瑞亭","東京都",1600022,35.688241,139.711388,"地下鉄丸ノ内線","新宿御苑前駅",1,NA,NA,800,0,NA
"ge3y000","麺処 びぎ屋","東京都",1520004,35.628836,139.689138,"東急東横線","学芸大学駅",5,NA,NA,1000,7,4.25
"p662405","東京豚骨 背脂とんこつらーめん 雷門 門前仲町店","東京都",1350047,35.671693,139.795993,"地下鉄東西線","門前仲町駅",2,NA,NA,800,1,NA
"ggtv300","韓韓麺 竹ノ塚店","東京都",1210813,35.792607,139.791634,"東武伊勢崎線（東武スカイツリーライン）","竹ノ塚駅",3,NA,NA,3000,3,4.5
"gd1n634","松戸富田麺絆","東京都",1007090,35.6798,139.764877,"ＪＲ","東京駅",2,NA,NA,1000,0,NA
"gfrs200","麺処 篠はら","東京都",1710014,35.73306,139.702172,"地下鉄副都心線","要町駅",3,NA,NA,900,0,NA
"ge9n607","太陽のトマト麺NEXT 新宿ミロード店","東京都",1600023,35.689937,139.699683,"ＪＲ","新宿駅",2,NA,NA,1000,11,3.27272727272727
"ge9n608","太陽のトマト麺 新宿東宝ビル店","東京都",1600021,35.695444,139.701811,"西武新宿線","西武新宿駅",3,NA,NA,1000,0,NA
"geft801","無尽蔵 汐留家","東京都",1050021,35.663121,139.761346,"都営大江戸線","汐留駅",2,NA,NA,2000,0,NA
"g186600","呑来醍","東京都",1640001,35.704158,139.666108,"ＪＲ","中野駅",2,NA,NA,2600,0,NA
"p879918","しゃぶしゃぶ温野菜 代々木西口店","東京都",1510053,35.681955,139.701842,"ＪＲ","代々木駅",1,NA,NA,3000,0,NA
"gd17200","中国料理 渝園","東京都",1820024,35.652264,139.544496,"京王線","調布駅",1,NA,NA,2500,0,NA
"gd4v307","餃子市場 東大前店","東京都",1130034,35.707576,139.765586,"都営大江戸線","本郷三丁目駅",7,NA,NA,2500,0,NA
"gg5f413","東京豚骨拉麺 ばんから 池袋東口店","東京都",1700013,35.731916,139.714914,"地下鉄丸ノ内線","池袋駅",3,NA,NA,1000,0,NA
"gfez000","中華居酒屋 好味屋","東京都",1620841,35.696852,139.73463,"都営新宿線","市ケ谷駅",5,NA,NA,3000,0,NA
"gf98000","人形町らーめん いなせ","東京都",1030013,35.684788,139.783911,"地下鉄日比谷線","人形町駅",1,NA,NA,700,2,3.5
"gfbz503","札幌や 溜池山王店","東京都",1070052,35.670194,139.741514,"地下鉄銀座線","溜池山王駅",2,NA,NA,700,1,3
