"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"gap9725","ふぐだし潮 八代目 けいすけ","〒104-0061 東京都中央区銀座5-2-1 東急プラザ銀座B2",35.672176,139.762441,"地下鉄丸ノ内線","銀座駅","2",1000,"東京都",0,NA
"gfvy400","利尻昆布ラーメン くろおび","〒105-0003 東京都港区西新橋1-20-11 1F",35.667726,139.752169,"ＪＲ","新橋駅","8",1000,"東京都",0,NA
"gd1n633","中華そば 福味","〒100-7090 東京都千代田区丸の内2-7-2 JPタワー B1",35.6798,139.764877,"ＪＲ","東京駅","2",1000,"東京都",0,NA
"gfsr800","船見坂","〒104-0061 東京都中央区銀座2-12-11",35.671414,139.769286,"地下鉄日比谷線","東銀座駅","3",999,"東京都",5,3.83333333333333
"a092400","味丸","〒140-0001 東京都品川区北品川2-23-1 本田ビル1F",35.618165,139.742449,"京急本線","新馬場駅","1",1000,"東京都",4,3.875
"gabc500","福津留","〒100-0005 東京都千代田区丸の内3-1-1 国際ビルB1",35.676989,139.761181,"JR","有楽町駅","5",4000,"東京都",0,NA
"gbpe400","風雲児","〒151-0053 東京都渋谷区代々木2-14-3 北斗第一ビル1F",35.686844,139.696649,"都営新宿線","新宿駅","2",800,"東京都",17,3.88235294117647
"p879915","しゃぶしゃぶ温野菜 立川南口店","〒190-0023 東京都立川市柴崎町3-3-7 山三電機ビル6F",35.696769,139.414282,"ＪＲ","立川駅","1",3000,"東京都",0,NA
"gbct700","らーめん潤 蒲田店","〒144-0052 東京都大田区蒲田5-20-7 シャトー蒲田13-102",35.561796,139.718846,"ＪＲ京浜東北線","蒲田駅","3",1000,"東京都",5,3.4
"gdv6152","ラーメン山岡家 瑞穂店","〒190-1213 東京都西多摩郡瑞穂町武蔵205-1",35.765089,139.354096,"ＪＲ八高線","箱根ケ崎駅","車5",800,"東京都",4,3.5
"e049601","半蔵門 中国料理 紅花","〒102-0092 東京都千代田区隼町2-13 プライムビル1F",35.682797,139.741971,"地下鉄半蔵門線","半蔵門駅","1",2500,"東京都",0,NA
"g095625","浅草聚楽","〒111-0032 東京都台東区浅草1-23-9",35.712188,139.793757,"地下鉄銀座線","浅草駅","8",1100,"東京都",8,3.125
"gfux401","香港料理 萬来［マンライ］荻窪","〒167-0051 東京都杉並区荻窪4-7-12",35.699705,139.617419,"地下鉄丸ノ内線","荻窪駅","7",2000,"東京都",2,4.75
"gfn3600","さつまっこ MEGAドンキホーテ大森山王店","〒143-0023 東京都大田区山王3-6-5",35.583432,139.72368,"ＪＲ京浜東北線","大森駅","7",700,"東京都",0,NA
"b446018","らーめん冠尾","〒150-0021 東京都渋谷区恵比寿西1-7-11 1F",35.647904,139.708541,"ＪＲ","恵比寿駅","1",900,"東京都",0,NA
"gg5f416","東京豚骨拉麺ばんから 新宿歌舞伎町店","〒160-0021 東京都新宿区歌舞伎町1-17-5 第二安田ビル1F",35.694153,139.701277,"西武新宿線","西武新宿駅","3",1000,"東京都",0,NA
"a424601","胡椒饅頭 ＰＡＯＰＡＯ","〒101-0032 東京都千代田区岩本町3-1-5 スミトー神田岩本町ビル1F",35.694776,139.776019,"ＪＲ","秋葉原駅","5",3200,"東京都",4,3.625
"gebm900","個室Asian Dining 2階のぞうさん 国分寺店","〒185-0012 東京都国分寺市本町3-9-6 2F",35.702445,139.480152,"ＪＲ中央線","国分寺駅","3",3000,"東京都",0,NA
"gdup054","博多かわ串・高知餃子 酒場フタマタ 西新橋店","〒105-0003 東京都港区西新橋1-3-1 西新橋スクエア2F",35.669017,139.754708,"都営三田線","内幸町駅","1",2700,"東京都",0,NA
"gfn3601","さつまっこ 平和島店","〒143-0011 東京都大田区大森本町2-27-7",35.57778,139.73739,"京急本線","平和島駅","5",700,"東京都",1,3
"b912201","ラーメン居酒屋 久慈清商店","〒153-0051 東京都目黒区上目黒1-19-10",35.645368,139.698109,"東急東横線","中目黒駅","2",1500,"東京都",5,3.3
"a263006","ほおずきや","〒135-0063 東京都江東区有明3-6-11 TFTビル東館2F",35.630926,139.790565,"ゆりかもめ","国際展示場正門駅","2",3000,"東京都",2,5
"gb1b600","慶賓楼 赤坂店","〒107-0052 東京都港区赤坂3-1-11 鈴木ビル2F",35.676871,139.736789,"地下鉄","赤坂見附駅","1",2000,"東京都",0,NA
"gfn3602","さつまっこ 田園調布","〒145-0071 東京都大田区田園調布2-15-2",35.594799,139.673551,"東急東横線","田園調布駅","7",700,"東京都",0,NA
"gf88100","三ツ星餃子堂 石神井公園店","〒177-0041 東京都練馬区石神井町3-20-13 1F",35.742963,139.605964,"西武池袋線","石神井公園駅","2",1000,"東京都",0,NA
"gezv300","らーめん 華月","〒168-0065 東京都杉並区浜田山3-26-27 富貴ビル1F",35.682703,139.62935,"京王井の頭線","浜田山駅","5",800,"東京都",2,3
"gdh4401","昌平ラーメン 成子坂店","〒160-0023 東京都新宿区西新宿6-10-2",35.694859,139.690802,"地下鉄丸ノ内線","西新宿駅","2",800,"東京都",0,NA
"g501135","タイ屋台料理 ティーヌン 市ヶ谷店","〒102-0073 東京都千代田区九段北4-2-15 市ヶ谷プラザビル1F",35.691625,139.736807,"ＪＲ","市ケ谷駅","1",2000,"東京都",4,4.25
"gben800","らーめん ぽっぽっ屋 水道橋店","〒101-0061 東京都千代田区神田三崎町2-21-11 えびすビル1F",35.701457,139.753651,"ＪＲ総武線","水道橋駅","2",700,"東京都",4,3.75
"gfa2600","ラーメン 新高揚","〒160-0023 東京都新宿区西新宿1-16-13 桑原ビルB1",35.689361,139.697981,"ＪＲ","新宿駅","3",1000,"東京都",1,3
"g053664","1／2PPUDO ルミネ立川店","〒190-0012 東京都立川市曙町2-1-1 ルミネ立川8F",35.698469,139.413611,"ＪＲ","立川駅","1",950,"東京都",0,NA
"gesm804","桂花ラーメン 渋谷センター街店","〒150-0042 東京都渋谷区宇田川町27-1",35.660225,139.698654,"ＪＲ","渋谷駅","1",900,"東京都",7,3.57142857142857
"gbd0800","中華そば屋 伊藤","〒114-0003 東京都北区豊島4-5-3",35.763265,139.74596,"地下鉄南北線","王子神谷駅","12",550,"東京都",6,4
"gbt9800","麺処 銀笹","〒104-0061 東京都中央区銀座8-15-2 藤ビル1F",35.666228,139.763437,"都営大江戸線","汐留駅","5",1000,"東京都",8,4.375
"ge58500","ラーメン屋トイ・ボックス","〒116-0014 東京都荒川区東日暮里1-1-3",35.73115,139.792066,"地下鉄日比谷線","三ノ輪駅","2",1000,"東京都",2,NA
"ge38200","RAMEN GOTTSU","〒176-0001 東京都練馬区練馬1-29-16",35.739423,139.656842,"西武池袋線","練馬駅","4",900,"東京都",2,4
"gfmg500","九州らーめん 頭","〒155-0031 東京都世田谷区北沢2-12-6 1F",35.660904,139.667646,"京王井の頭線","下北沢駅","2",999,"東京都",1,NA
"gfwy100","らぁ麺 すぎ本","〒165-0032 東京都中野区鷺宮4-2-3",35.723087,139.63766,"西武新宿線","鷺ノ宮駅","2",2000,"東京都",0,NA
"gfs8800","もとまる","〒110-0005 東京都台東区上野4-2-4",35.708283,139.773972,"ＪＲ","御徒町駅","2",999,"東京都",0,NA
"gesm807","桂花ラーメン 幡ヶ谷北口店","〒151-0072 東京都渋谷区幡ヶ谷2-13-3 幡ヶ谷駅前サンクスビル1F",35.677502,139.676963,"京王新線","幡ヶ谷駅","1",900,"東京都",1,3
"gfw5600","RAMEN にじゅうぶんのいち （RAMEN 1／20）","〒116-0012 東京都荒川区東尾久2-19-10 西脇ビル1F",35.744548,139.772936,"都電荒川線","東尾久三丁目駅","3",800,"東京都",0,NA
"gchw600","中国屋台 十八番 新川店","〒104-0033 東京都中央区新川2-7-7 クレール八重洲通ビル1F",35.675819,139.780528,"地下鉄日比谷線","八丁堀駅","4",2000,"東京都",0,NA
"gbkz700","麺屋 翔","〒160-0023 東京都新宿区西新宿7-22-34",35.696594,139.696601,"都営大江戸線","新宿西口駅","6",950,"東京都",5,3.6
"gg0r300","百麺 中目黒店","〒153-0042 東京都目黒区青葉台1-30-6",35.64614,139.696977,"地下鉄日比谷線","中目黒駅","3",900,"東京都",3,3
"gesm803","桂花ラーメン 新宿西口店","〒160-0023 東京都新宿区西新宿1-14-2 安西ビル1F",35.688971,139.696989,"ＪＲ","新宿駅","1",900,"東京都",2,3
"gees600","中華料理 華山","〒136-0076 東京都江東区南砂7-1-23",35.668177,139.833186,"地下鉄","南砂町駅","2",1000,"東京都",0,NA
"a350200","地蔵そば 大橋屋","〒170-0002 東京都豊島区巣鴨3-34-3",35.735392,139.735765,"ＪＲ","巣鴨駅","5",900,"東京都",1,3
"gffn300","中華料理 多来福 練馬","〒176-0013 東京都練馬区豊玉中2-15-14",35.730324,139.659416,"西武池袋線","練馬駅","10",2500,"東京都",0,NA
"gfnu600","中国蘭州ラーメン 火焔山蘭州拉麺 池袋店","〒171-0014 東京都豊島区池袋2-47-7",35.733778,139.710908,"ＪＲ","池袋駅","5",1500,"東京都",0,NA
"ggva100","えびす亭","〒124-0005 東京都葛飾区宝町2-34-28",35.745869,139.839882,"京成本線","お花茶屋駅","2",700,"東京都",0,NA
"gesm806","桂花ラーメン 池袋西一番街店","〒171-0021 東京都豊島区西池袋1-41-3 池袋東通ビル1F",35.732786,139.710208,"ＪＲ","池袋駅","2",900,"東京都",0,NA
"a309800","福徳","〒152-0004 東京都目黒区鷹番3-8-4 岩本ビル1F",35.629564,139.685505,"東急東横線","学芸大学駅","1",700,"東京都",3,5
