"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"7537000","二代目はまぐりラーメン しえる","〒530-0027 大阪府大阪市北区堂山町8-10 ",34.703473,135.502854,"大阪メトロ谷町線","中崎町駅","徒歩5",NA,"大阪府",0,NA
"7433732","岡本商店 谷町店","〒540-0012 大阪府大阪市中央区谷町2-1-22 フェアステージ大手前ビルB1F",34.68725,135.517598,"大阪市営谷町線","天満橋駅","徒歩2",NA,"大阪府",2,NA
"6741653","三麺流 武者麺","〒564-0062 大阪府吹田市垂水町3-10-20 ",34.76216,135.502263,"北大阪急行電鉄","江坂駅","徒歩8",NA,"大阪府",0,NA
"7403614","越後秘蔵麺 無尽蔵 カリーノ江坂家","〒564-0051 大阪府吹田市豊津町9-40 ペリエエキナカ3F JR千葉駅3F改札内",NA,NA,"北大阪急行電鉄","江坂駅","徒歩1",NA,"大阪府",0,NA
"7337465","俺たちのカレー家×ラーメン Koji Labo","〒542-0075 大阪府大阪市中央区難波千日前14-13 ",34.663272,135.503564,"南海本線","難波駅","徒歩3",NA,"大阪府",0,NA
"5507584","飛騨の高山らーめん高槻店","〒569-0071 大阪府高槻市城北町2-1-18 ミング阪急高槻2F",34.849839,135.62303,"阪急京都本線","高槻市駅","徒歩1",NA,"大阪府",1,3
"6769008","丸源ラーメン 河内天美店","〒580-0034 大阪府松原市天美西5-128-1 ",34.589103,135.526381,"近鉄南大阪線","河内天美駅","徒歩13",NA,"大阪府",0,NA
"7510539","めんめん 守屋","〒536-0007 大阪府大阪市城東区成育2-2-1 ",34.707062,135.543645,"京阪本線","野江駅","徒歩1",NA,"大阪府",0,NA
"7169671","三豊麺 十三店","〒532-0024 大阪府大阪市淀川区十三本町1-5-19 ",34.719656,135.481992,"阪急京都本線","十三駅","徒歩1",NA,"大阪府",0,NA
"6400120","九州らーめん亀王 JR新大阪駅店","〒532-0011 大阪府大阪市淀川区西中島5-16-1 JR西日本 新大阪駅構内2F メディオ新大阪",34.733447,135.500778,"ＪＲ大阪環状連絡線","新大阪駅","徒歩1",NA,"大阪府",0,NA
"7083341","北京","〒584-0005 大阪府富田林市喜志町3-4-27 ",34.523532,135.607276,"近鉄長野線","喜志駅","徒歩1",NA,"大阪府",0,NA
"7698350","いっぱいらーめん","〒573-0013 大阪府枚方市星丘2-3-27 ",34.807467,135.660801,"京阪交野線","星ヶ丘（大阪府）駅","徒歩1",NA,"大阪府",0,NA
"6306281","ラーメン荘 おもしろい方へ","〒574-0046 大阪府大東市赤井1-13-1 ",34.708553,135.618738,"ＪＲ片町線〔学研都市線〕","住道駅","徒歩5",NA,"大阪府",0,NA
"6148931","丸源ラーメン 茨木店","〒567-0028 大阪府茨木市畑田町5-18 ",34.826471,135.561678,"JR東海道本線（米原-神戸）","茨木〔JR〕駅","徒歩18",NA,"大阪府",5,3.5
"5914602","伝伝ラーメン","〒543-0052 大阪府大阪市天王寺区大道4-10-6 ",34.648774,135.523487,"JR大阪環状線","寺田町駅","徒歩1",NA,"大阪府",1,5
"7701465","和dining 清乃 なんばラーメン一座店","〒542-0076 大阪府大阪市中央区難波3-2-18 エディオンなんば本店9F",34.665943,135.501792,"大阪メトロ御堂筋線","なんば〔大阪メトロ〕駅","徒歩1",NA,"大阪府",0,NA
"7729189","中華ダイニング 隆勝","〒532-0004 大阪府大阪市淀川区西宮原2-6-16 ",34.735149,135.490399,"阪急宝塚本線","三国（大阪府）駅","徒歩11",NA,"大阪府",0,NA
"7257397","創作らーめん style林","〒532-0026 大阪府大阪市淀川区塚本2-23-9 ",34.712432,135.469432,"JR東海道本線（米原-神戸）","塚本駅","徒歩1",NA,"大阪府",0,NA
"5507651","来来亭 枚方高田店","〒573-0073 大阪府枚方市高田1-5-8 ",34.776074,135.656249,"ＪＲ片町線〔学研都市線〕","星田駅","徒歩20",NA,"大阪府",0,NA
"7483480","RAMEN JUNYA","〒572-0085 大阪府寝屋川市香里新町3-1 ",34.784675,135.627982,"京阪本線","香里園駅","徒歩3",NA,"大阪府",0,NA
"6437346","夢中","〒530-0043 大阪府大阪市北区天満1-7-16 ",34.694032,135.518364,"大阪市営谷町線","天満橋駅","徒歩6",NA,"大阪府",0,NA
"6267321","紀州和歌山ラーメン きぶんや 関目1号線店","〒536-0008 大阪府大阪市城東区関目1-3-1 ",34.706598,135.5467,"京阪本線","野江駅","徒歩4",NA,"大阪府",0,NA
