"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"geu7600","煮干しそば 平八","〒238-0011 神奈川県横須賀市米が浜通1-17",35.277488,139.674432,"京急本線","横須賀中央駅","6",1000,"神奈川県",0,NA
"gbh2900","ShiNaChiKu亭","〒221-0825 神奈川県横浜市神奈川区反町2-15-14 ヒルトップ反町ビル1F",35.476093,139.627578,"ＪＲ","東神奈川駅","10",900,"神奈川県",3,3.33333333333333
"gd5u804","麺屋 銀星 海美風 海老名店","〒243-0485 神奈川県海老名市中央1-4-1 ビナウォーク6番館1F",35.452711,139.395606,"小田急小田原線","海老名駅","6",1000,"神奈川県",0,NA
"gfxn700","横濱家系ラーメン勝鬨家","〒231-0033 神奈川県横浜市中区長者町2-5-4 1F",35.438758,139.635594,"横浜市営地下鉄","伊勢佐木長者町駅","4",999,"神奈川県",0,NA
"gdv6156","ラーメン山岡家 平塚店","〒254-0018 神奈川県平塚市東真土2-8-5",35.35634,139.357252,"東名高速道路","厚木I.C.","車15",800,"神奈川県",0,NA
"gfg1005","元祖ニュータンタンメン本舗 横浜店","〒220-0005 神奈川県横浜市西区南幸2-11-7 横浜西口藤澤ビル1F",35.463136,139.616593,"ＪＲ","横浜駅","6",1000,"神奈川県",0,NA
"g370003","担担麺・麻婆豆腐 匠 Jang","〒220-0011 神奈川県横浜市西区高島2-16 B1",35.464537,139.623364,"ＪＲ","横浜駅","1",1100,"神奈川県",0,NA
"7723640","まるは担々麺","〒221-0002 神奈川県横浜市神奈川区大口通67-2 ",35.492094,139.645427,"","","",800,"神奈川県",0,NA
"6155289","久留米らーめん 鐡釜","〒238-8533 神奈川県横須賀市若松町2-30 横須賀モアーズシティ",35.278332,139.670067,"京急本線","横須賀中央駅","徒歩1",900,"神奈川県",11,3.31818181818182
"6913347","飯処 たまはん","〒254-0052 神奈川県平塚市平塚5-1-19 1F",35.330314,139.334611,"ＪＲ東海道本線","平塚駅","車5",2500,"神奈川県",5,4.9
"7157696","想 〜SOU〜","〒249-0006 神奈川県逗子市逗子1-7-3 ",35.29549,139.578163,"","","",3000,"神奈川県",0,NA
"6416070","糟屋らーめん あかつき","〒254-0903 神奈川県平塚市河内351-1 古木ビル",35.335853,139.310194,"ＪＲ東海道本線","平塚駅","車10",800,"神奈川県",0,NA
"7367260","ラーメン暖暮 川崎仲見世通店","〒210-0006 神奈川県川崎市川崎区砂子2-2-5 ",35.529392,139.69959,"京急本線","京急川崎駅","徒歩10",980,"神奈川県",1,3
"7592237","TAMARI．BAR","〒259-0303 神奈川県足柄下郡湯河原町土肥1-8-33 プラザ城山102",35.144796,139.101667,"","","",1000,"神奈川県",0,NA
"7268892","はっしょう","〒222-0023 神奈川県横浜市港北区仲手原2-1-23 フラワ-ハイツ吉村1F",35.495581,139.632779,"","","",2500,"神奈川県",3,4
"3120330","丸嶋","〒258-0001 神奈川県足柄上郡松田町松田惣領1249 ",35.346626,139.139533,"小田急線","新松田駅","徒歩3",750,"神奈川県",1,4.5
"7007940","中華そば うめや","〒236-0042 神奈川県横浜市金沢区釜利谷東2-16-13 1F",35.342963,139.61955,"京急本線","金沢文庫駅","徒歩3",850,"神奈川県",2,NA
"7336369","麺侍右京","〒221-0825 神奈川県横浜市神奈川区反町1-5-17 クロスロード 反町 1F",35.474882,139.626424,"東急東横線","反町駅","徒歩1",750,"神奈川県",0,NA
"6352753","らーめん 厨房 萬喜","〒256-0816 神奈川県小田原市酒匂2-15-6 1F",35.269356,139.189138,"ＪＲ東海道本線","鴨宮駅","徒歩17",2000,"神奈川県",0,NA
"7001789","ラーメン 泪橋","〒213-0001 神奈川県川崎市高津区溝口1-17-20 ",35.601258,139.613796,"東急田園都市線","溝の口駅","徒歩5",800,"神奈川県",3,4
"6316574","虎のみそ","〒210-0848 神奈川県川崎市川崎区京町2-2-2 ",35.515702,139.694021,"JR南武線（浜川崎線）","川崎新町駅","徒歩7",850,"神奈川県",0,NA
"7750106","東峰","〒251-0012 神奈川県藤沢市村岡東1-1-1 ",35.340075,139.503382,"","","",1000,"神奈川県",2,4.25
"5843187","とんぱた亭 新子安店","〒221-0013 神奈川県横浜市神奈川区新子安1-2-5 オルト横浜オルトモールコート2F",35.487239,139.653672,"ＪＲ京浜東北線","新子安駅","徒歩5",700,"神奈川県",2,3
