"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status"
1161718,"野崎",11617,27,"574-0015","大東市野崎１",135.636942,34.718334,NA,NA,0,4,"学研都市線","JR片町線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0
3500103,"野田",35001,27,"553-0001","大阪市福島区海老江一丁目",135.47606,34.694432,NA,NA,0,25,"阪神本線","阪神本線",NA,NA,0,35,"阪神電鉄","阪神電気鉄道株式会社","阪神","http://rail.hanshin.co.jp/",2,0
1120110,"野辺地",99206,2,"039-3131","上北郡野辺地町大字野辺地",141.119603,40.855142,NA,NA,0,108,"青い森鉄道線","青い森鉄道線",NA,NA,0,99,"青い森鉄道","青い森鉄道株式会社","青い森鉄道","http://aoimorirailway.com/",0,0
1141102,"金山",11411,23,"460-0022","名古屋市中区金山１丁目",136.900517,35.142928,NA,NA,0,3,"JR中央本線(名古屋～塩尻)","JR中央本線(名古屋～塩尻)",NA,NA,0,11,"JR東海","東海旅客鉄道株式会社","JR東海","http://jr-central.co.jp/",1,0
1150231,"金山",11502,23,"460-0022","名古屋市中区金山１丁目",136.90075,35.143323,NA,NA,0,3,"JR東海道本線(浜松～岐阜)","JR東海道本線(浜松～岐阜)",NA,NA,0,11,"JR東海","東海旅客鉄道株式会社","JR東海","http://jr-central.co.jp/",1,0
3000134,"金山",30001,23,"460-0022","名古屋市中区金山１丁目",136.9013,35.142871,NA,NA,0,20,"名鉄名古屋本線","名鉄名古屋本線",NA,NA,0,30,"名古屋鉄道","名古屋鉄道株式会社","名鉄","http://www.meitetsu.co.jp/",2,0
3000803,"金山",30008,23,"460-0022","名古屋市中区金山１丁目",136.9013,35.142871,NA,NA,0,20,"名鉄常滑線","名鉄常滑線",NA,NA,0,30,"名古屋鉄道","名古屋鉄道株式会社","名鉄","http://www.meitetsu.co.jp/",2,0
9951413,"金山",99514,23,"460-0022","名古屋市中区金山１丁目",136.901611,35.14352,NA,NA,0,179,"名古屋市営地下鉄名城線","名古屋市営地下鉄名城線","9B74C1","藤色",0,99,"名古屋市交通局","名古屋市交通局","名古屋市交通局","http://www.kotsu.city.nagoya.jp/",0,0
9951501,"金山",99515,23,"460-0022","名古屋市中区金山１丁目",136.901611,35.14352,NA,NA,0,179,"名古屋市営地下鉄名港線","名古屋市営地下鉄名港線","9B74C1","藤色",0,99,"名古屋市交通局","名古屋市交通局","名古屋市交通局","http://www.kotsu.city.nagoya.jp/",0,0
9990708,"金山",99907,40,"814-0114","福岡市城南区金山団地",130.361561,33.559371,NA,NA,0,231,"福岡市営地下鉄七隈線","福岡市営地下鉄七隈線",NA,NA,0,99,"福岡市交通局","福岡市交通局","福岡市交通局","http://subway.city.fukuoka.lg.jp/",0,0
3600307,"金島",36003,40,"830-1102","久留米市北野町八重亀字通道１８４-８",130.623016,33.353232,NA,NA,0,26,"西鉄甘木線","西鉄甘木線",NA,NA,0,36,"西日本鉄道","西日本鉄道株式会社","西鉄","http://www.nishitetsu.co.jp/",2,0
9942601,"金沢",99426,17,"920-0023","金沢市北安江町",136.648166,36.578117,NA,NA,0,246,"IRいしかわ鉄道線","IRいしかわ鉄道株式会社",NA,NA,0,99,"IRいしかわ鉄道","IRいしかわ鉄道株式会社","いしてつ","http://www.ishikawa-railway.jp",0,0
2700401,"金沢八景",27004,14,"236-0027","横浜市金沢区瀬戸１５-１",139.62018,35.331223,NA,NA,0,17,"京急逗子線","京急逗子線",NA,NA,0,27,"京急電鉄","京浜急行電鉄株式会社","京急","http://www.keikyu.co.jp/",2,0
9931714,"金沢八景",99317,14,"236-0027","横浜市金沢区瀬戸１５-１",139.622133,35.331285,NA,NA,0,131,"金沢シーサイドライン","横浜新都市交通金沢シーサイドライン",NA,NA,0,99,"株式会社横浜シーサイドライン","株式会社横浜シーサイドライン","横浜シーサイドライン","http://www.seasideline.co.jp/",0,0
9990301,"金田",99903,40,"822-1201","田川郡福智町金田",130.776491,33.682805,NA,NA,0,230,"糸田線","平成筑豊鉄道糸田線",NA,NA,0,99,"平成筑豊鉄道","平成筑豊鉄道株式会社","平成筑豊鉄道","http://www.heichiku.net/",0,0
9950701,"金谷",99507,22,"428-0047","静岡県島田市金谷新町",138.12605,34.819568,NA,NA,0,174,"大井川鐵道大井川本線","大井川鐵道大井川本線",NA,NA,0,99,"大井川鐵道","大井川鐵道株式会社","大鐵","http://www.oigawa-railway.co.jp/",0,0
1121330,"釜石",11213,3,"026-0031","釜石市鈴子町",141.87267,39.273321,NA,NA,2,2,"JR山田線","JR山田線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9920810,"釜石",99208,3,"026-0031","釜石市鈴子町",141.87267,39.273321,NA,NA,0,109,"三陸鉄道リアス線","三陸鉄道リアス線",NA,NA,0,99,"三陸鉄道","三陸鉄道株式会社","三鉄","http://www.sanrikutetsudou.com/",0,0
1110801,"釧路",11108,1,"085-0015","釧路市北大通１４丁目",144.381983,42.990584,NA,NA,0,1,"花咲線","JR根室本線(釧路～根室)",NA,NA,0,11,"JR北海道","北海道旅客鉄道株式会社","JR北海道","http://www.jrhokkaido.co.jp/",1,0
1111728,"釧路",11117,1,"085-0015","釧路市北大通１４丁目",144.381983,42.990584,NA,NA,0,1,"JR釧網本線","JR釧網本線",NA,NA,0,11,"JR北海道","北海道旅客鉄道株式会社","JR北海道","http://www.jrhokkaido.co.jp/",1,0
9963501,"鈴蘭台",99635,28,"651-1111","神戸市北区鈴蘭台北町１-７-１７",135.145867,34.723662,NA,NA,0,204,"粟生線","神鉄粟生線","D53924","朱",0,99,"神戸電鉄","神戸電鉄株式会社","神鉄","http://www.shintetsu.co.jp/",0,0
9980911,"鉄砲町",99809,38,"790-0827","松山市鉄砲町",132.769011,33.84829,NA,NA,0,226,"伊予鉄道環状線","伊予鉄道２系統",NA,NA,0,99,"伊予鉄道","伊予鉄道株式会社","伊予鉄","http://www.iyotetsu.co.jp/",0,0
