"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status","NN_Index","Name","Company","Line","TypeS","TypeC","P2011","P2012","P2013","P2014","P2015","P2016","P2017","Diff"
1132205,"川越",11322,11,"350-1122","川越市脇田町",139.483078,35.906742,NA,NA,0,2,"JR川越線","JR川越線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4251,"川越","東日本旅客鉄道","川越線",11,2,73560,72688,73872,75508,74654,76686,76774,"O"
2100121,"川越",21001,11,"350-1122","川越市脇田町",139.483078,35.906742,NA,NA,0,11,"東武東上線","東武東上線",NA,NA,0,21,"東武鉄道","東武鉄道株式会社","東武","http://www.tobu.co.jp/",2,0,4251,"川越","東日本旅客鉄道","川越線",11,2,73560,72688,73872,75508,74654,76686,76774,"O"
3102716,"川越富洲原",31027,24,"510-8122","三重県三重郡川越町大字豊田275",136.659736,35.016267,NA,NA,0,21,"近鉄名古屋線","近鉄名古屋線",NA,NA,0,31,"近畿日本鉄道","近畿日本鉄道株式会社","近鉄","http://www.kintetsu.co.jp/",2,0,4253,"川越富洲原","近畿日本鉄道","名古屋線",12,4,5630,5375,5375,5375,6017,6017,6017,"O"
2100122,"川越市",21001,11,"350-0041","川越市六軒町１-４-４",139.476989,35.914146,NA,NA,0,11,"東武東上線","東武東上線",NA,NA,0,21,"東武鉄道","東武鉄道株式会社","東武","http://www.tobu.co.jp/",2,0,4254,"川越市","東武鉄道","東上本線",12,4,34318,34809,36085,35968,37374,41542,44676,"O"
9970205,"川跡",99702,32,"693-0014","出雲市武志町１０２７-１",132.776411,35.395127,NA,NA,0,216,"北松江線","一畑電車北松江線",NA,NA,0,99,"一畑電車","一畑電車株式会社","ばたでん","http://www.ichibata.co.jp/railway/",0,0,4255,"川跡","一畑電車","大社線",12,4,0,0,0,0,0,0,0,"O"
9970301,"川跡",99703,32,"693-0014","出雲市武志町１０２７-１",132.776411,35.395127,NA,NA,0,216,"大社線","一畑電車大社線",NA,NA,0,99,"一畑電車","一畑電車株式会社","ばたでん","http://www.ichibata.co.jp/railway/",0,0,4255,"川跡","一畑電車","大社線",12,4,0,0,0,0,0,0,0,"O"
1141402,"川路",11414,20,"399-2431","飯田市川路",137.815564,35.452946,NA,NA,0,3,"JR飯田線(天竜峡～辰野)","JR飯田線(天竜峡～辰野)",NA,NA,0,11,"JR東海","東海旅客鉄道株式会社","JR東海","http://jr-central.co.jp/",1,0,4257,"川路","東海旅客鉄道","飯田線",11,2,0,0,0,0,0,0,0,"O"
9921011,"川辺",99210,5,"015-0412","由利本荘市矢島町川辺",140.12036,39.248842,NA,NA,0,111,"鳥海山ろく線","由利高原鉄道鳥海山ろく線",NA,NA,0,99,"由利高原鉄道","由利高原鉄道株式会社","由利高原鉄道","http://www.obako5.com/",0,0,4258,"川辺","由利高原鉄道","鳥海山ろく線",12,5,91,83,81,83,62,59,53,"O"
9970503,"川辺宿",99705,33,"710-1313","倉敷市真備町川辺美トロ２２８１-３",133.715068,34.632339,NA,NA,0,218,"井原線","井原鉄道井原線",NA,NA,0,99,"井原鉄道","井原鉄道株式会社","井原鉄道","http://plus.harenet.ne.jp/~ibarasen/",0,0,4259,"川辺宿","井原鉄道","井原線",12,5,195,195,189,189,189,189,189,"O"
1133839,"川辺沖",11338,7,"963-6313","石川郡玉川村大字川辺",140.405723,37.192794,NA,NA,0,2,"JR水郡線","JR水郡線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4260,"川辺沖","東日本旅客鉄道","水郡線",11,2,0,0,0,0,0,0,0,"O"
1120259,"川部",11202,2,"038-1141","南津軽郡田舎館村大字川部",140.521376,40.646862,NA,NA,0,2,"JR奥羽本線(新庄～青森)","JR奥羽本線(新庄～青森)",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4261,"川部","東日本旅客鉄道","奥羽線",11,2,586,614,622,688,620,620,620,"O"
1120443,"川部",11204,2,"038-1141","南津軽郡田舎館村大字川部",140.521376,40.646862,NA,NA,0,2,"JR五能線","JR五能線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4261,"川部","東日本旅客鉄道","奥羽線",11,2,586,614,622,688,620,620,620,"O"
2100413,"川間",21004,12,"270-0235","野田市尾崎８３２",139.83385,35.979172,NA,NA,0,11,"東武野田線","東武野田線",NA,NA,0,21,"東武鉄道","東武鉄道株式会社","東武","http://www.tobu.co.jp/",2,0,4263,"川間","東武鉄道","野田線",12,4,18058,18067,17982,17322,17310,17028,17286,"O"
