Ranking,Country,HDI,Life_expentancy_at_birth,Expected_yrs_of_schooling,Mean_yrs_of_schooling,GNI_per_capita,,,,,,
92,Botswana,0.728,69.3,12.7,9.3,"15,951",,,,,,
93,Saint Vincent and the Grenadines,0.728,72.4,13.6,8.6,"11,746",,,,,,
94,Jamaica,0.726,74.4,13.1,9.8,"7,932",,,,,,
95,Venezuela,0.726,72.1,12.8,10.3,"9,070",,,,,,
96,Dominica,0.724,78.1,13,7.8,"9,245",,,,,,
97,Fiji,0.724,67.3,14.4,10.9,"9,110",,,,,,
98,Paraguay,0.724,74.1,12.7,8.5,"11,720",,,,,,
99,Suriname,0.724,71.6,12.9,9.1,"11,933",,,,,,
100,Jordan,0.723,74.4,11.9,10.5,"8,268",,,,,,
101,Belize,0.72,74.5,13.1,9.8,"7,136",,,,,,
102,Maldives,0.719,78.6,12.1,6.8,"12,549",,,,,,
103,Philippines,0.712,71.1,12.7,9.4,"9,540",,,,,,
104,Moldova,0.711,71.8,11.6,11.6,"6,833",,,,,,
105,Uzbekistan,0.71,71.6,12,11.5,"6,462",,,,,,
106,Libya,0.708,72.7,12.8,7.6,"11,685",,,,,,
107,Indonesia,0.707,71.5,12.9,8,"11,256",,,,,,
108,South Africa,0.705,63.9,13.7,10.2,"11,756",,,,,,
109,Bolivia,0.703,71.2,14,9,"6,849",,,,,,
110,Gabon,0.702,66.2,12.9,8.3,"15,794",,,,,,
111,Egypt,0.7,71.8,13.1,7.3,"10,744",,,,,,
112,Vietnam,0.693,75.3,12.7,8.2,"6,220",,,,,,
113,West Bank and Gaza,0.69,73.9,12.8,9.1,"5,314",,,,,,
114,Iraq,0.689,70.5,11.1,7.3,"15,365",,,,,,
115,Morocco,0.676,76.5,13.1,5.5,"7,480",,,,,,
116,Kyrgyzstan,0.674,71.3,13.4,10.9,"3,317",,,,,,
117,Guyana,0.67,69.8,11.5,8.5,"7,615",,,,,,
118,El Salvador,0.667,73.1,12,6.9,"6,973",,,,,,
119,Tajikistan,0.656,70.9,11.4,10.7,"3,482",,,,,,
120,Cabo Verde,0.651,72.8,11.9,6.2,"6,513",,,,,,
121,Guatemala,0.651,74.1,10.6,6.5,"7,378",,,,,,
122,Nicaragua,0.651,74.3,12.2,6.8,"4,790",,,,,,
123,India,0.647,69.4,12.3,6.5,"6,829",,,,,,
124,Namibia,0.645,63.4,12.6,6.9,"9,683",,,,,,
125,Timor-Leste,0.626,69.3,12.4,4.5,"7,527",,,,,,
126,Honduras,0.623,75.1,10.2,6.6,"4,258",,,,,,
127,Bhutan,0.617,71.5,12.1,3.1,"8,609",,,,,,
128,Bangladesh,0.614,72.3,11.2,6.1,"4,057",,,,,,
129,Sao Tome and Principe,0.609,70.2,12.7,6.4,"3,024",,,,,,
130,Congo (Brazzaville),0.608,64.3,11.6,6.5,"5,804",,,,,,
131,Eswatini,0.608,59.4,11.4,6.7,"9,359",,,,,,
132,Laos,0.604,67.6,11.1,5.2,"6,317",,,,,,
133,Ghana,0.596,63.8,11.5,7.2,"4,099",,,,,,
134,Zambia,0.591,63.5,12.1,7.1,"3,582",,,,,,
135,Equatorial Guinea,0.588,58.4,9.2,5.6,"17,796",,,,,,
136,Burma,0.584,66.9,10.3,5,"5,764",,,,,,
137,Cambodia,0.581,69.6,11.3,4.8,"3,597",,,,,,
138,Kenya,0.579,66.3,11.1,6.6,"3,052",,,,,,
139,Nepal,0.579,70.5,12.2,4.9,"2,748",,,,,,
140,Angola,0.574,60.8,11.8,5.1,"5,555",,,,,,
141,Cameroon,0.563,58.9,12.7,6.3,"3,291",,,,,,
142,Zimbabwe,0.563,61.2,10.5,8.3,"2,661",,,,,,
143,Pakistan,0.56,67.1,8.5,5.2,"5,190",,,,,,
144,Syria,0.549,71.8,8.9,5.1,"2,725",,,,,,
145,Papua New Guinea,0.543,64.3,10,4.6,"3,686",,,,,,
146,Comoros,0.538,64.1,11.2,4.9,"2,426",,,,,,
147,Rwanda,0.536,68.7,11.2,4.4,"1,959",,,,,,
148,Nigeria,0.534,54.3,9.7,6.5,"5,086",,,,,,
149,Tanzania,0.528,65,8,6,"2,805",,,,,,
150,Uganda,0.528,63,11.2,6.1,"1,752",,,,,,
151,Mauritania,0.527,64.7,8.5,4.6,"3,746",,,,,,
152,Madagascar,0.521,66.7,10.4,6.1,"1,404",,,,,,
153,Benin,0.52,61.5,12.6,3.8,"2,135",,,,,,
154,Lesotho,0.518,53.7,10.7,6.3,"3,244",,,,,,
155,Cote d'Ivoire,0.516,57.4,9.6,5.2,"3,589",,,,,,
156,Senegal,0.514,67.7,9,3.1,"3,256",,,,,,
157,Togo,0.513,60.8,12.6,4.9,"1,593",,,,,,
158,Sudan,0.507,65.1,7.7,3.7,"3,962",,,,,,
159,Haiti,0.503,63.7,9.5,5.4,"1,665",,,,,,
160,Afghanistan,0.496,64.5,10.1,3.9,"1,746",,,,,,
161,Djibouti,0.495,66.6,6.5,4,"3,601",,,,,,
162,Malawi,0.485,63.8,11,4.6,"1,159",,,,,,
163,Ethiopia,0.47,66.2,8.7,2.8,"1,782",,,,,,
164,Gambia,0.466,61.7,9.5,3.7,"1,490",,,,,,
165,Guinea,0.466,61.2,9,2.7,"2,211",,,,,,
166,Liberia,0.465,63.7,9.6,4.7,"1,040",,,,,,
167,Yemen,0.463,66.1,8.7,3.2,"1,433",,,,,,
168,Guinea-Bissau,0.461,58,10.5,3.3,"1,593",,,,,,
169,Congo (Kinshasa),0.459,60.4,9.7,6.8,800,,,,,,
170,Mozambique,0.446,60.2,9.7,3.5,"1,154",,,,,,
171,Sierra Leone,0.438,54.3,10.2,3.6,"1,381",,,,,,
172,Burkina Faso,0.434,61.2,8.9,1.6,"1,705",,,,,,
173,Eritrea,0.434,65.9,5,3.9,"1,708",,,,,,
174,Mali,0.427,58.9,7.6,2.4,"1,965",,,,,,
175,Burundi,0.423,61.2,11.3,3.1,660,,,,,,
176,South Sudan,0.413,57.6,5,4.8,"1,455",,,,,,
177,Chad,0.401,54,7.5,2.4,"1,716",,,,,,
178,Central African Republic,0.381,52.8,7.6,4.3,777,,,,,,
179,Niger,0.377,62,6.5,2,912,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
